File,Alphabet,TS,Depth,Entropy
obj1,Byte,2048,2,96699.45
obj1,Byte,2048,3,96342.49
obj1,Byte,2048,4,97400.04
obj1,Byte,2048,5,98122.13
obj1,Byte,2048,6,99142.76
obj1,Byte,2048,7,99788.59
obj1,Byte,2048,8,100600.5
obj1,Byte,2048,9,101236.1
obj1,Byte,4096,1,100049
obj1,Byte,4096,2,96185.61
obj1,Byte,4096,3,95256.14
obj1,Byte,4096,4,95402.13
obj1,Byte,4096,5,96026.4
obj1,Byte,4096,6,96544.73
obj1,Byte,4096,7,97026.11
obj1,Byte,4096,8,97623.22
obj1,Byte,4096,9,98095.62
obj1,Byte,8192,1,100049
obj1,Byte,8192,2,95997.59
obj1,Byte,8192,3,94914.3
obj1,Byte,8192,4,94964.93
obj1,Byte,8192,5,95124.69
obj1,Byte,8192,6,95400.19
obj1,Byte,8192,7,95630.69
obj1,Byte,8192,8,95796.71
obj1,Byte,8192,9,96122.95
obj1,Byte,16384,1,100049
obj1,Byte,16384,2,95834.14
obj1,Byte,16384,3,94839.11
obj1,Byte,16384,4,94692.81
obj1,Byte,16384,5,94697.81
obj1,Byte,16384,6,94785.39
obj1,Byte,16384,7,94895.53
obj1,Byte,16384,8,95003.09
obj1,Byte,16384,9,95088.69
obj1,Byte,32768,1,100049
obj1,Byte,32768,2,95765.71
obj1,Byte,32768,3,94661.58
obj1,Byte,32768,4,94421.51
obj1,Byte,32768,5,94357
obj1,Byte,32768,6,94477.66
obj1,Byte,32768,7,94437.97
obj1,Byte,32768,8,94463.6
obj1,Byte,32768,9,94522.71
obj1,Byte,65536,1,100049
obj1,Byte,65536,2,95765.71
obj1,Byte,65536,3,94741.61
obj1,Byte,65536,4,94383.29
obj1,Byte,65536,5,94321.9
obj1,Byte,65536,6,94265.34
obj1,Byte,65536,7,94282.21
obj1,Byte,65536,8,94277.85
obj1,Byte,65536,9,94290.25
obj1,Byte,131072,1,100049
obj1,Byte,131072,2,95765.71
obj1,Byte,131072,3,94575.37
obj1,Byte,131072,4,94350.34
obj1,Byte,131072,5,94286.87
obj1,Byte,131072,6,94260.65
obj1,Byte,131072,7,94223.69
obj1,Byte,131072,8,94222.8
obj1,Byte,131072,9,94191.78
obj1,Byte,262144,1,100049
obj1,Byte,262144,2,95765.71
obj1,Byte,262144,3,94570.77
obj1,Byte,262144,4,94340.54
obj1,Byte,262144,5,94298.89
obj1,Byte,262144,6,94259.63
obj1,Byte,262144,7,94207.22
obj1,Byte,262144,8,94187.25
obj1,Byte,262144,9,94161.09
obj1,Byte,524288,1,100049
obj1,Byte,524288,2,95597.03
obj1,Byte,524288,3,94403.79
obj1,Byte,524288,4,94166.77
obj1,Byte,524288,5,94129.64
obj1,Byte,524288,6,94079.14
obj1,Byte,524288,7,94152.64
obj1,Byte,524288,8,94027.25
obj1,Byte,524288,9,94017.55
obj2,Byte,128,1,1050533
obj2,Byte,128,2,1153356
obj2,Byte,128,3,1247322
obj2,Byte,128,4,1358253
obj2,Byte,128,5,1420394
obj2,Byte,128,6,1429728
obj2,Byte,128,7,1477166
obj2,Byte,128,8,1481095
obj2,Byte,128,9,1495567
obj2,Byte,256,1,1002473
obj2,Byte,256,2,1093219
obj2,Byte,256,3,1161683
obj2,Byte,256,4,1253319
obj2,Byte,256,5,1344071
obj2,Byte,256,6,1365775
obj2,Byte,256,7,1420956
obj2,Byte,256,8,1429637
obj2,Byte,256,9,1472776
obj2,Byte,512,1,1002473
obj2,Byte,512,2,1027930
obj2,Byte,512,3,1104437
obj2,Byte,512,4,1186091
obj2,Byte,512,5,1263848
obj2,Byte,512,6,1295903
obj2,Byte,512,7,1345024
obj2,Byte,512,8,1300062
obj2,Byte,512,9,1385526
obj2,Byte,1024,1,1002345
obj2,Byte,1024,2,986656.1
obj2,Byte,1024,3,1026512
obj2,Byte,1024,4,1097654
obj2,Byte,1024,5,1161968
obj2,Byte,1024,6,1154577
obj2,Byte,1024,7,1207948
obj2,Byte,1024,8,1219112
obj2,Byte,1024,9,1289331
obj2,Byte,2048,1,1002345
obj2,Byte,2048,2,936122.6
obj2,Byte,2048,3,967971.1
obj2,Byte,2048,4,1042053
obj2,Byte,2048,5,1053354
obj2,Byte,2048,6,1086559
obj2,Byte,2048,7,1109989
obj2,Byte,2048,8,1148106
obj2,Byte,2048,9,1205078
obj2,Byte,4096,1,1002345
obj2,Byte,4096,2,909068.3
obj2,Byte,4096,3,913820.7
obj2,Byte,4096,4,952132.7
obj2,Byte,4096,5,978651.4
obj2,Byte,4096,6,999648.1
obj2,Byte,4096,7,1014566
obj2,Byte,4096,8,1032115
obj2,Byte,4096,9,1058626
obj2,Byte,8192,1,1002345
obj2,Byte,8192,2,888007
obj2,Byte,8192,3,878965.3
obj2,Byte,8192,4,899743.7
obj2,Byte,8192,5,923953.8
obj2,Byte,8192,6,946065.1
obj2,Byte,8192,7,964402.2
obj2,Byte,8192,8,984650.9
obj2,Byte,8192,9,1005168
obj2,Byte,16384,1,1002345
obj2,Byte,16384,2,877021
obj2,Byte,16384,3,854594.7
obj2,Byte,16384,4,866795.9
obj2,Byte,16384,5,882113.1
obj2,Byte,16384,6,897445.5
obj2,Byte,16384,7,904258.8
obj2,Byte,16384,8,922516.6
obj2,Byte,16384,9,936804.1
obj2,Byte,32768,1,1002345
obj2,Byte,32768,2,876009.5
obj2,Byte,32768,3,844575.7
obj2,Byte,32768,4,844866.3
obj2,Byte,32768,5,853582.3
obj2,Byte,32768,6,864883
obj2,Byte,32768,7,871225.5
obj2,Byte,32768,8,881079.2
obj2,Byte,32768,9,889878.5
obj2,Byte,65536,1,1002345
obj2,Byte,65536,2,876009.5
obj2,Byte,65536,3,839166.4
obj2,Byte,65536,4,831737
obj2,Byte,65536,5,836140.9
obj2,Byte,65536,6,840604.8
obj2,Byte,65536,7,847514.9
obj2,Byte,65536,8,855569.8
obj2,Byte,65536,9,859547.9
obj2,Byte,131072,1,1002345
obj2,Byte,131072,2,876009.5
obj2,Byte,131072,3,836904.7
obj2,Byte,131072,4,825167.8
obj2,Byte,131072,5,829506.3
obj2,Byte,131072,6,830789.2
obj2,Byte,131072,7,836613
obj2,Byte,131072,8,839123
obj2,Byte,131072,9,840785.3
obj2,Byte,262144,1,1002345
obj2,Byte,262144,2,876009.5
obj2,Byte,262144,3,835789.3
obj2,Byte,262144,4,824952.8
obj2,Byte,262144,5,824690.1
obj2,Byte,262144,6,825875.5
obj2,Byte,262144,7,828273.1
obj2,Byte,262144,8,830792.8
