File,Alphabet,TS,Depth,Entropy
cp.html,Byte,256,3,95218.23
cp.html,Byte,256,4,97124.04
cp.html,Byte,256,5,99650.51
cp.html,Byte,256,6,102066.9
cp.html,Byte,256,7,103391.4
cp.html,Byte,256,8,104592.4
cp.html,Byte,256,9,106674.1
cp.html,Byte,512,1,96168.7
cp.html,Byte,512,2,89733.94
cp.html,Byte,512,3,90857.94
cp.html,Byte,512,4,92663.49
cp.html,Byte,512,5,94564.01
cp.html,Byte,512,6,96645.11
cp.html,Byte,512,7,98001.64
cp.html,Byte,512,8,99367.09
cp.html,Byte,512,9,100102.7
cp.html,Byte,1024,1,96188.62
cp.html,Byte,1024,2,87183.82
cp.html,Byte,1024,3,87081.01
cp.html,Byte,1024,4,88388.59
cp.html,Byte,1024,5,89917.8
cp.html,Byte,1024,6,91049.35
cp.html,Byte,1024,7,92310.26
cp.html,Byte,1024,8,93089.87
cp.html,Byte,1024,9,94504.8
cp.html,Byte,2048,1,96188.62
cp.html,Byte,2048,2,86085.04
cp.html,Byte,2048,3,85225.24
cp.html,Byte,2048,4,86062.84
cp.html,Byte,2048,5,87042.48
cp.html,Byte,2048,6,88008.91
cp.html,Byte,2048,7,88631.74
cp.html,Byte,2048,8,89213.32
cp.html,Byte,2048,9,89981.61
cp.html,Byte,4096,1,96188.62
cp.html,Byte,4096,2,85967.6
cp.html,Byte,4096,3,84687.96
cp.html,Byte,4096,4,84875.82
cp.html,Byte,4096,5,85284.62
cp.html,Byte,4096,6,85796.53
cp.html,Byte,4096,7,86307.64
cp.html,Byte,4096,8,86728.92
cp.html,Byte,4096,9,87082.05
cp.html,Byte,8192,1,96188.62
cp.html,Byte,8192,2,85868.02
cp.html,Byte,8192,3,84397.33
cp.html,Byte,8192,4,84387.84
cp.html,Byte,8192,5,84498.98
cp.html,Byte,8192,6,84747.97
cp.html,Byte,8192,7,85072.72
cp.html,Byte,8192,8,85307.41
cp.html,Byte,8192,9,85603.13
cp.html,Byte,16384,1,96188.62
cp.html,Byte,16384,2,85203.14
cp.html,Byte,16384,3,83914.79
cp.html,Byte,16384,4,83920.98
cp.html,Byte,16384,5,83905.06
cp.html,Byte,16384,6,83972.34
cp.html,Byte,16384,7,84086.67
cp.html,Byte,16384,8,84175.19
cp.html,Byte,16384,9,84325.09
cp.html,Byte,32768,1,96188.62
cp.html,Byte,32768,2,85203.14
cp.html,Byte,32768,3,83852.92
cp.html,Byte,32768,4,83744.75
cp.html,Byte,32768,5,83731.99
cp.html,Byte,32768,6,83719.75
cp.html,Byte,32768,7,83762.53
cp.html,Byte,32768,8,83787.36
cp.html,Byte,32768,9,83814.73
cp.html,Byte,65536,1,96188.62
cp.html,Byte,65536,2,85203.14
cp.html,Byte,65536,3,83821.47
cp.html,Byte,65536,4,83666.43
cp.html,Byte,65536,5,83665.87
cp.html,Byte,65536,6,83649.81
cp.html,Byte,65536,7,83649.07
cp.html,Byte,65536,8,83644.79
cp.html,Byte,65536,9,83648.5
cp.html,Byte,131072,1,96188.62
cp.html,Byte,131072,2,85203.14
cp.html,Byte,131072,3,83782.49
cp.html,Byte,131072,4,83642.64
cp.html,Byte,131072,5,83629.95
cp.html,Byte,131072,6,83599.42
cp.html,Byte,131072,7,83628.33
cp.html,Byte,131072,8,83607.82
cp.html,Byte,131072,9,83635.76
cp.html,Byte,262144,1,96188.62
cp.html,Byte,262144,2,85203.14
cp.html,Byte,262144,3,83777.08
cp.html,Byte,262144,4,83624.46
cp.html,Byte,262144,5,83622.83
cp.html,Byte,262144,6,83598.64
cp.html,Byte,262144,7,83586.17
cp.html,Byte,262144,8,83582.26
cp.html,Byte,262144,9,83606.11
cp.html,Byte,524288,1,96188.62
cp.html,Byte,524288,2,85203.14
cp.html,Byte,524288,3,83781.91
cp.html,Byte,524288,4,83629.67
cp.html,Byte,524288,5,83627.48
cp.html,Byte,524288,6,83635.83
cp.html,Byte,524288,7,83606.42
cp.html,Byte,524288,8,83613.85
cp.html,Byte,524288,9,83629.73
cp.html,Byte,1048576,1,96188.62
cp.html,Byte,1048576,2,85203.14
cp.html,Byte,1048576,3,83780.72
cp.html,Byte,1048576,4,83630.53
cp.html,Byte,1048576,5,83619.23
cp.html,Byte,1048576,6,83606.31
cp.html,Byte,1048576,7,83608.49
cp.html,Byte,1048576,8,83604.68
cp.html,Byte,1048576,9,83601.55
fields.c,Byte,128,1,40120.88
fields.c,Byte,128,2,40144.6
fields.c,Byte,128,3,42536.58
fields.c,Byte,128,4,44469.59
fields.c,Byte,128,5,45412
fields.c,Byte,128,6,46126.49
fields.c,Byte,128,7,46379.59
fields.c,Byte,128,8,47768.81
fields.c,Byte,128,9,47864.96
fields.c,Byte,256,1,40120.88
fields.c,Byte,256,2,38830.2
fields.c,Byte,256,3,40506.09
fields.c,Byte,256,4,41718.82
fields.c,Byte,256,5,42976.81
fields.c,Byte,256,6,43615.25
fields.c,Byte,256,7,44466.99
fields.c,Byte,256,8,45163.96
fields.c,Byte,256,9,45582.62
fields.c,Byte,512,1,40120.88
fields.c,Byte,512,2,37463.57
fields.c,Byte,512,3,38019.06
fields.c,Byte,512,4,39122.63
fields.c,Byte,512,5,39810.89
fields.c,Byte,512,6,40682.48
fields.c,Byte,512,7,41448.85
fields.c,Byte,512,8,41802.64
fields.c,Byte,512,9,42246.84
fields.c,Byte,1024,1,40130.08
fields.c,Byte,1024,2,36392.53
fields.c,Byte,1024,3,36676.96
fields.c,Byte,1024,4,37234.64
fields.c,Byte,1024,5,38009.21
fields.c,Byte,1024,6,38432.67
fields.c,Byte,1024,7,38901.33
fields.c,Byte,1024,8,39454.25
fields.c,Byte,1024,9,39965.13
fields.c,Byte,2048,1,40130.08
fields.c,Byte,2048,2,36116.4
fields.c,Byte,2048,3,35901.95
fields.c,Byte,2048,4,36370.81
fields.c,Byte,2048,5,36482.81
fields.c,Byte,2048,6,36906.54
fields.c,Byte,2048,7,37339.76
fields.c,Byte,2048,8,37638.62
fields.c,Byte,2048,9,37923.08
fields.c,Byte,4096,1,40130.08
fields.c,Byte,4096,2,36060.39
fields.c,Byte,4096,3,35599.66
fields.c,Byte,4096,4,35751.5
fields.c,Byte,4096,5,36088.44
fields.c,Byte,4096,6,36166.37
fields.c,Byte,4096,7,36375.38
fields.c,Byte,4096,8,36567.58
fields.c,Byte,4096,9,36768.21
fields.c,Byte,8192,1,40130.08
fields.c,Byte,8192,2,36001.38
fields.c,Byte,8192,3,35362.83
fields.c,Byte,8192,4,35432.61
fields.c,Byte,8192,5,35563.83
fields.c,Byte,8192,6,35611.05
fields.c,Byte,8192,7,35715.91
fields.c,Byte,8192,8,35819.77
fields.c,Byte,8192,9,35909.64
fields.c,Byte,16384,1,40130.08
fields.c,Byte,16384,2,35817.2
fields.c,Byte,16384,3,35212.64
fields.c,Byte,16384,4,35061.02
fields.c,Byte,16384,5,35138.38
fields.c,Byte,16384,6,35148.24
fields.c,Byte,16384,7,35191.23
fields.c,Byte,16384,8,35274.47
fields.c,Byte,16384,9,35353.4
fields.c,Byte,32768,1,40130.08
fields.c,Byte,32768,2,35817.2
fields.c,Byte,32768,3,35303.43
fields.c,Byte,32768,4,35026.66
fields.c,Byte,32768,5,35051.96
fields.c,Byte,32768,6,35063.18
fields.c,Byte,32768,7,35081.32
fields.c,Byte,32768,8,35132.18
fields.c,Byte,32768,9,35131.72
fields.c,Byte,65536,1,40130.08
fields.c,Byte,65536,2,35817.2
fields.c,Byte,65536,3,35301.3
fields.c,Byte,65536,4,35147.31
fields.c,Byte,65536,5,35160.59
fields.c,Byte,65536,6,35048.44
fields.c,Byte,65536,7,35069.02
fields.c,Byte,65536,8,35102.01
fields.c,Byte,65536,9,35118.48
fields.c,Byte,131072,1,40130.08
fields.c,Byte,131072,2,35817.2
fields.c,Byte,131072,3,35288.74
fields.c,Byte,131072,4,35106.53
fields.c,Byte,131072,5,35108.25
fields.c,Byte,131072,6,35003.64
fields.c,Byte,131072,7,35014.72
fields.c,Byte,131072,8,35017.49
fields.c,Byte,131072,9,35031.49
fields.c,Byte,262144,1,40130.08
fields.c,Byte,262144,2,35817.2
fields.c,Byte,262144,3,35287.41
fields.c,Byte,262144,4,35107.38
fields.c,Byte,262144,5,35111.24
fields.c,Byte,262144,6,34995.47
fields.c,Byte,262144,7,34998.27
fields.c,Byte,262144,8,34996.16
fields.c,Byte,262144,9,35005.4
fields.c,Byte,524288,1,40130.08
fields.c,Byte,524288,2,35817.2
fields.c,Byte,524288,3,35286.99
fields.c,Byte,524288,4,35103.42
fields.c,Byte,524288,5,35114.13
fields.c,Byte,524288,6,34998.1
fields.c,Byte,524288,7,35000.8
fields.c,Byte,524288,8,34998.53
fields.c,Byte,524288,9,35003.78
fields.c,Byte,1048576,1,40130.08
fields.c,Byte,1048576,2,35817.2
fields.c,Byte,1048576,3,35286.99
fields.c,Byte,1048576,4,35102.8
fields.c,Byte,1048576,5,35112.72
fields.c,Byte,1048576,6,34991.38
fields.c,Byte,1048576,7,34991.47
fields.c,Byte,1048576,8,34992.04
fields.c,Byte,1048576,9,34995.8
grammar.lsp,Byte,128,1,14447.31
grammar.lsp,Byte,128,2,14233.78
grammar.lsp,Byte,128,3,14452.36
grammar.lsp,Byte,128,4,14767.67
grammar.lsp,Byte,128,5,14835.49
grammar.lsp,Byte,128,6,15005.64
grammar.lsp,Byte,128,7,15086.48
grammar.lsp,Byte,128,8,15170.84
grammar.lsp,Byte,128,9,15223.99
grammar.lsp,Byte,256,1,14447.31
grammar.lsp,Byte,256,2,14135.04
grammar.lsp,Byte,256,3,14216.79
grammar.lsp,Byte,256,4,14431.89
grammar.lsp,Byte,256,5,14596.84
grammar.lsp,Byte,256,6,14775.34
grammar.lsp,Byte,256,7,14764.9
grammar.lsp,Byte,256,8,14802.35
grammar.lsp,Byte,256,9,14834.97
grammar.lsp,Byte,512,1,14447.31
grammar.lsp,Byte,512,2,13959.75
grammar.lsp,Byte,512,3,14005.79
grammar.lsp,Byte,512,4,14227.93
grammar.lsp,Byte,512,5,14336.91
grammar.lsp,Byte,512,6,14376.94
grammar.lsp,Byte,512,7,14426.18
grammar.lsp,Byte,512,8,14488.32
grammar.lsp,Byte,512,9,14438.63
grammar.lsp,Byte,1024,1,14447.31
grammar.lsp,Byte,1024,2,13970.13
grammar.lsp,Byte,1024,3,13994.72
grammar.lsp,Byte,1024,4,14044.31
grammar.lsp,Byte,1024,5,14091.71
grammar.lsp,Byte,1024,6,14196.82
grammar.lsp,Byte,1024,7,14242.38
grammar.lsp,Byte,1024,8,14238.5
grammar.lsp,Byte,1024,9,14310.51
grammar.lsp,Byte,2048,1,14447.31
grammar.lsp,Byte,2048,2,13975.71
grammar.lsp,Byte,2048,3,13989.76
grammar.lsp,Byte,2048,4,13967.98
grammar.lsp,Byte,2048,5,13909.97
grammar.lsp,Byte,2048,6,13962.52
grammar.lsp,Byte,2048,7,14005.15
grammar.lsp,Byte,2048,8,14050.25
grammar.lsp,Byte,2048,9,14030.91
grammar.lsp,Byte,4096,1,14447.31
grammar.lsp,Byte,4096,2,13977.2
grammar.lsp,Byte,4096,3,13962.2
grammar.lsp,Byte,4096,4,13943.61
grammar.lsp,Byte,4096,5,13924.95
grammar.lsp,Byte,4096,6,13913.13
grammar.lsp,Byte,4096,7,13902.62
grammar.lsp,Byte,4096,8,13930.67
grammar.lsp,Byte,4096,9,13955.36
grammar.lsp,Byte,8192,1,14447.31
grammar.lsp,Byte,8192,2,13974.24
grammar.lsp,Byte,8192,3,13975.3
grammar.lsp,Byte,8192,4,13959.15
grammar.lsp,Byte,8192,5,13947.22
grammar.lsp,Byte,8192,6,13925.19
grammar.lsp,Byte,8192,7,13924.32
grammar.lsp,Byte,8192,8,13930.44
grammar.lsp,Byte,8192,9,13940.91
grammar.lsp,Byte,16384,1,14447.31
grammar.lsp,Byte,16384,2,13929.74
grammar.lsp,Byte,16384,3,13928.1
grammar.lsp,Byte,16384,4,13911.16
grammar.lsp,Byte,16384,5,13889.35
grammar.lsp,Byte,16384,6,13881.9
grammar.lsp,Byte,16384,7,13888.33
grammar.lsp,Byte,16384,8,13887.47
grammar.lsp,Byte,16384,9,13889.08
grammar.lsp,Byte,32768,1,14447.31
grammar.lsp,Byte,32768,2,13929.74
grammar.lsp,Byte,32768,3,13925.46
grammar.lsp,Byte,32768,4,13910.82
grammar.lsp,Byte,32768,5,13907.06
grammar.lsp,Byte,32768,6,13904
grammar.lsp,Byte,32768,7,13899.28
grammar.lsp,Byte,32768,8,13895.81
grammar.lsp,Byte,32768,9,13896.84
grammar.lsp,Byte,65536,1,14447.31
grammar.lsp,Byte,65536,2,13929.74
grammar.lsp,Byte,65536,3,13931.28
grammar.lsp,Byte,65536,4,13921.29
grammar.lsp,Byte,65536,5,13920.98
grammar.lsp,Byte,65536,6,13917.11
grammar.lsp,Byte,65536,7,13913.31
grammar.lsp,Byte,65536,8,13907.97
grammar.lsp,Byte,65536,9,13906.97
grammar.lsp,Byte,131072,1,14447.31
grammar.lsp,Byte,131072,2,13929.74
grammar.lsp,Byte,131072,3,13930.17
grammar.lsp,Byte,131072,4,13917.74
grammar.lsp,Byte,131072,5,13922.39
grammar.lsp,Byte,131072,6,13927.21
grammar.lsp,Byte,131072,7,13926.6
grammar.lsp,Byte,131072,8,13927.32
grammar.lsp,Byte,131072,9,13927.1
grammar.lsp,Byte,262144,1,14447.31
grammar.lsp,Byte,262144,2,13929.74
grammar.lsp,Byte,262144,3,13930.17
grammar.lsp,Byte,262144,4,13917.22
grammar.lsp,Byte,262144,5,13922.35
grammar.lsp,Byte,262144,6,13927.08
grammar.lsp,Byte,262144,7,13926.71
grammar.lsp,Byte,262144,8,13927.89
grammar.lsp,Byte,262144,9,13927.78
grammar.lsp,Byte,524288,1,14447.31
grammar.lsp,Byte,524288,2,13929.74
grammar.lsp,Byte,524288,3,13930.17
grammar.lsp,Byte,524288,4,13917.11
grammar.lsp,Byte,524288,5,13922.19
grammar.lsp,Byte,524288,6,13926.8
grammar.lsp,Byte,524288,7,13927.65
grammar.lsp,Byte,524288,8,13928.9
grammar.lsp,Byte,524288,9,13929.12
grammar.lsp,Byte,1048576,1,14447.31
grammar.lsp,Byte,1048576,2,13929.74
grammar.lsp,Byte,1048576,3,13930.17
grammar.lsp,Byte,1048576,4,13917.16
grammar.lsp,Byte,1048576,5,13922.21
grammar.lsp,Byte,1048576,6,13926.8
grammar.lsp,Byte,1048576,7,13927.65
grammar.lsp,Byte,1048576,8,13927.94
grammar.lsp,Byte,1048576,9,13928.04
kennedy.xls,Byte,128,1,2645817
kennedy.xls,Byte,128,2,2604379
kennedy.xls,Byte,128,3,2879725
kennedy.xls,Byte,128,4,3094096
kennedy.xls,Byte,128,5,3122063
kennedy.xls,Byte,128,6,3222869
kennedy.xls,Byte,128,7,3137448
kennedy.xls,Byte,128,8,3458465
kennedy.xls,Byte,128,9,3676753
kennedy.xls,Byte,256,1,2639244
kennedy.xls,Byte,256,2,2602569
kennedy.xls,Byte,256,3,2747229
kennedy.xls,Byte,256,4,2748406
kennedy.xls,Byte,256,5,2947484
kennedy.xls,Byte,256,6,3088394
kennedy.xls,Byte,256,7,3364368
kennedy.xls,Byte,256,8,3458594
kennedy.xls,Byte,256,9,3702618
kennedy.xls,Byte,512,1,2639244
kennedy.xls,Byte,512,2,2481483
kennedy.xls,Byte,512,3,2485113
kennedy.xls,Byte,512,4,2573022
kennedy.xls,Byte,512,5,2733090
kennedy.xls,Byte,512,6,2976012
kennedy.xls,Byte,512,7,3160949
kennedy.xls,Byte,512,8,3245291
kennedy.xls,Byte,512,9,3461042
kennedy.xls,Byte,1024,1,2638170
kennedy.xls,Byte,1024,2,2448345
kennedy.xls,Byte,1024,3,2427287
kennedy.xls,Byte,1024,4,2338735
kennedy.xls,Byte,1024,5,2448318
kennedy.xls,Byte,1024,6,2624160
kennedy.xls,Byte,1024,7,2709345
kennedy.xls,Byte,1024,8,2856875
kennedy.xls,Byte,1024,9,2895445
kennedy.xls,Byte,2048,1,2638170
kennedy.xls,Byte,2048,2,2439981
kennedy.xls,Byte,2048,3,2270160
kennedy.xls,Byte,2048,4,2167128
kennedy.xls,Byte,2048,5,2228110
kennedy.xls,Byte,2048,6,2296780
kennedy.xls,Byte,2048,7,2202710
kennedy.xls,Byte,2048,8,2413421
kennedy.xls,Byte,2048,9,2558098
kennedy.xls,Byte,4096,1,2638170
kennedy.xls,Byte,4096,2,2433934
kennedy.xls,Byte,4096,3,2205072
kennedy.xls,Byte,4096,4,2075898
kennedy.xls,Byte,4096,5,2129070
kennedy.xls,Byte,4096,6,2104253
kennedy.xls,Byte,4096,7,2217694
kennedy.xls,Byte,4096,8,2224144
kennedy.xls,Byte,4096,9,2285254
kennedy.xls,Byte,8192,1,2638170
kennedy.xls,Byte,8192,2,2430552
kennedy.xls,Byte,8192,3,2135468
kennedy.xls,Byte,8192,4,2038646
kennedy.xls,Byte,8192,5,1970740
kennedy.xls,Byte,8192,6,1972110
kennedy.xls,Byte,8192,7,2066250
kennedy.xls,Byte,8192,8,2093322
kennedy.xls,Byte,8192,9,2146166
